2024/01/30 02:36
800        Number of data points
  lat     lon
27.90339 50.37770
27.90339 50.37814
27.90294 50.37814
27.90294 50.37903
27.90339 50.37903
27.90339 50.37947
27.90383 50.37947
27.90383 50.38036
27.90339 50.38036
27.90339 50.38080
27.90161 50.38080
27.90161 50.38125
27.90161 50.38125
27.91846 50.37194
27.91846 50.37238
27.91757 50.37238
27.91757 50.37282
27.91801 50.37282
27.91801 50.37371
27.91757 50.37371
27.91757 50.37415
27.91713 50.37415
27.91713 50.37460
27.91580 50.37460
27.91580 50.37504
27.91535 50.37504
27.91535 50.37548
27.91491 50.37548
27.91491 50.37593
27.91358 50.37593
27.91358 50.37548
27.91314 50.37548
27.91314 50.37504
27.91181 50.37504
27.91181 50.37593
27.91225 50.37593
27.91225 50.37637
27.91269 50.37637
27.91269 50.37681
27.91314 50.37681
27.91314 50.37726
27.91358 50.37726
27.91358 50.37770
27.91314 50.37770
27.91314 50.37814
27.91269 50.37814
27.91269 50.37770
27.91225 50.37770
27.91225 50.37726
27.91181 50.37726
27.91181 50.37681
27.91136 50.37681
27.91136 50.37726
27.91048 50.37726
27.91048 50.37814
27.91004 50.37814
27.91004 50.37859
27.90959 50.37859
27.90959 50.37903
27.90871 50.37903
27.90871 50.37859
27.90782 50.37859
27.90782 50.37770
27.90693 50.37770
27.90693 50.37726
27.90649 50.37726
27.90649 50.37637
27.90693 50.37637
27.90693 50.37593
27.90738 50.37593
27.90738 50.37548
27.90782 50.37548
27.90782 50.37504
27.90826 50.37504
27.90826 50.37460
27.90871 50.37460
27.90871 50.37415
27.90826 50.37415
27.90826 50.37371
27.90782 50.37371
27.90782 50.37327
27.90738 50.37327
27.90738 50.37238
27.90782 50.37238
27.90782 50.37194
27.90871 50.37194
27.90871 50.37150
27.90915 50.37150
27.90915 50.37105
27.91004 50.37105
27.91004 50.37238
27.90959 50.37238
27.90959 50.37371
27.90915 50.37371
27.90915 50.37415
27.90959 50.37415
27.90959 50.37460
27.91048 50.37460
27.91048 50.37415
27.91225 50.37415
27.91225 50.37327
27.91269 50.37327
27.91269 50.37238
27.91314 50.37238
27.91314 50.37150
27.91225 50.37150
27.91225 50.37238
27.91136 50.37238
27.91136 50.37061
27.91181 50.37061
27.91181 50.37017
27.91225 50.37017
27.91225 50.36972
27.91269 50.36972
27.91269 50.36928
27.91402 50.36928
27.91402 50.36972
27.91447 50.36972
27.91447 50.37017
27.91491 50.37017
27.91491 50.37061
27.91535 50.37061
27.91535 50.37105
27.91580 50.37105
27.91580 50.37061
27.91624 50.37061
27.91624 50.36928
27.91580 50.36928
27.91580 50.36884
27.91535 50.36884
27.91535 50.36751
27.91846 50.36751
27.91846 50.36618
27.91890 50.36618
27.91890 50.36573
27.91934 50.36573
27.91934 50.36529
27.92023 50.36529
27.92023 50.36485
27.92111 50.36485
27.92111 50.36440
27.92156 50.36440
27.92156 50.36396
27.92200 50.36396
27.92200 50.36352
27.92422 50.36352
27.92422 50.36263
27.92377 50.36263
27.92377 50.36219
27.92333 50.36219
27.92333 50.36130
27.92422 50.36130
27.92422 50.36219
27.92466 50.36219
27.92466 50.36263
27.92510 50.36263
27.92510 50.36308
27.92555 50.36308
27.92555 50.36440
27.92422 50.36440
27.92422 50.36485
27.92377 50.36485
27.92377 50.36618
27.92422 50.36618
27.92422 50.36662
27.92555 50.36662
27.92555 50.36618
27.92688 50.36618
27.92688 50.36662
27.92643 50.36662
27.92643 50.36795
27.92599 50.36795
27.92599 50.36839
27.92643 50.36839
27.92643 50.36884
27.92599 50.36884
27.92599 50.36972
27.92510 50.36972
27.92510 50.37061
27.92422 50.37061
27.92422 50.37105
27.92244 50.37105
27.92244 50.37150
27.91934 50.37150
27.91934 50.37194
27.91846 50.37194
27.91846 50.37194
27.93795 50.37327
27.93840 50.37327
27.93840 50.37460
27.93795 50.37460
27.93795 50.37548
27.93751 50.37548
27.93751 50.37593
27.93663 50.37593
27.93663 50.37548
27.93618 50.37548
27.93618 50.37504
27.93663 50.37504
27.93663 50.37460
27.93707 50.37460
27.93707 50.37415
27.93663 50.37415
27.93663 50.37371
27.93574 50.37371
27.93574 50.37194
27.93530 50.37194
27.93530 50.37150
27.93441 50.37150
27.93441 50.37194
27.93397 50.37194
27.93397 50.37327
27.93352 50.37327
27.93352 50.37504
27.93264 50.37504
27.93264 50.37460
27.93219 50.37460
27.93219 50.37504
27.93175 50.37504
27.93175 50.37548
27.93086 50.37548
27.93086 50.37593
27.92953 50.37593
27.92953 50.37637
27.92909 50.37637
27.92909 50.37681
27.92865 50.37681
27.92865 50.37726
27.92732 50.37726
27.92732 50.37770
27.92688 50.37770
27.92688 50.37814
27.92643 50.37814
27.92643 50.37859
27.92555 50.37859
27.92555 50.37814
27.92510 50.37814
27.92510 50.37770
27.92466 50.37770
27.92466 50.37726
27.92422 50.37726
27.92422 50.37770
27.92377 50.37770
27.92377 50.37814
27.92333 50.37814
27.92333 50.37859
27.92289 50.37859
27.92289 50.37903
27.92244 50.37903
27.92244 50.37947
27.92200 50.37947
27.92200 50.37859
27.92111 50.37859
27.92111 50.37770
27.92023 50.37770
27.92023 50.37681
27.91978 50.37681
27.91978 50.37637
27.91934 50.37637
27.91934 50.37593
27.91978 50.37593
27.91978 50.37548
27.92023 50.37548
27.92023 50.37593
27.92111 50.37593
27.92111 50.37460
27.92156 50.37460
27.92156 50.37415
27.92244 50.37415
27.92244 50.37371
27.92289 50.37371
27.92289 50.37282
27.92377 50.37282
27.92377 50.37238
27.92510 50.37238
27.92510 50.37194
27.92732 50.37194
27.92732 50.37105
27.92776 50.37105
27.92776 50.37061
27.92821 50.37061
27.92821 50.37017
27.92865 50.37017
27.92865 50.36928
27.92909 50.36928
27.92909 50.36884
27.92998 50.36884
27.92998 50.36928
27.93131 50.36928
27.93131 50.36839
27.93175 50.36839
27.93175 50.36795
27.93264 50.36795
27.93264 50.36751
27.93308 50.36751
27.93308 50.36662
27.93352 50.36662
27.93352 50.36618
27.93663 50.36618
27.93663 50.36662
27.93795 50.36662
27.93795 50.36706
27.93884 50.36706
27.93884 50.36795
27.93795 50.36795
27.93795 50.36839
27.93751 50.36839
27.93751 50.36928
27.93707 50.36928
27.93707 50.36972
27.93663 50.36972
27.93663 50.37061
27.93707 50.37061
27.93707 50.37105
27.93751 50.37105
27.93751 50.37150
27.93707 50.37150
27.93707 50.37238
27.93751 50.37238
27.93751 50.37282
27.93795 50.37282
27.93795 50.37327
27.93795 50.37327
27.94061 50.37327
27.93973 50.37327
27.93973 50.37238
27.93928 50.37238
27.93928 50.37194
27.93840 50.37194
27.93840 50.37150
27.93884 50.37150
27.93884 50.37061
27.93973 50.37061
27.93973 50.36972
27.94061 50.36972
27.94061 50.37061
27.94106 50.37061
27.94106 50.37282
27.94061 50.37282
27.94061 50.37327
27.94061 50.37327
27.88079 50.38878
27.88079 50.38834
27.88123 50.38834
27.88123 50.38745
27.88167 50.38745
27.88167 50.38701
27.88212 50.38701
27.88212 50.38745
27.88256 50.38745
27.88256 50.38878
27.88167 50.38878
27.88167 50.38922
27.88079 50.38922
27.88079 50.38967
27.88034 50.38967
27.88034 50.38878
27.88079 50.38878
27.88079 50.38878
27.88832 50.39365
27.88832 50.39321
27.88743 50.39321
27.88743 50.39365
27.88699 50.39365
27.88699 50.39454
27.88743 50.39454
27.88743 50.39498
27.88655 50.39498
27.88655 50.39454
27.88610 50.39454
27.88610 50.39498
27.88522 50.39498
27.88522 50.39543
27.88433 50.39543
27.88433 50.39498
27.88300 50.39498
27.88300 50.39543
27.88212 50.39543
27.88212 50.39587
27.88123 50.39587
27.88123 50.39676
27.88079 50.39676
27.88079 50.39764
27.87901 50.39764
27.87901 50.39853
27.87857 50.39853
27.87857 50.39897
27.87813 50.39897
27.87813 50.39942
27.87680 50.39942
27.87680 50.39897
27.87502 50.39897
27.87502 50.39942
27.87370 50.39942
27.87370 50.39853
27.87414 50.39853
27.87414 50.39809
27.87502 50.39809
27.87502 50.39764
27.87547 50.39764
27.87547 50.39676
27.87591 50.39676
27.87591 50.39631
27.87724 50.39631
27.87724 50.39676
27.87813 50.39676
27.87813 50.39631
27.87857 50.39631
27.87857 50.39498
27.87901 50.39498
27.87901 50.39454
27.87946 50.39454
27.87946 50.39410
27.88079 50.39410
27.88079 50.39454
27.88256 50.39454
27.88256 50.39410
27.88300 50.39410
27.88300 50.39321
27.88344 50.39321
27.88344 50.39277
27.88477 50.39277
27.88477 50.39321
27.88566 50.39321
27.88566 50.39277
27.88610 50.39277
27.88610 50.39232
27.88655 50.39232
27.88655 50.39188
27.88788 50.39188
27.88788 50.39232
27.88876 50.39232
27.88876 50.39188
27.88965 50.39188
27.88965 50.39144
27.89098 50.39144
27.89098 50.39188
27.89142 50.39188
27.89142 50.39232
27.89098 50.39232
27.89098 50.39277
27.89054 50.39277
27.89054 50.39321
27.88965 50.39321
27.88965 50.39365
27.88832 50.39365
27.88832 50.39365
27.88477 50.38435
27.88522 50.38435
27.88522 50.38390
27.88566 50.38390
27.88566 50.38346
27.88655 50.38346
27.88655 50.38479
27.88610 50.38479
27.88610 50.38523
27.88566 50.38523
27.88566 50.38568
27.88522 50.38568
27.88522 50.38523
27.88477 50.38523
27.88477 50.38435
27.88477 50.38435
27.88876 50.38257
27.88921 50.38257
27.88921 50.38302
27.88965 50.38302
27.88965 50.38346
27.88921 50.38346
27.88921 50.38435
27.88832 50.38435
27.88832 50.38390
27.88788 50.38390
27.88788 50.38346
27.88832 50.38346
27.88832 50.38302
27.88876 50.38302
27.88876 50.38257
27.88876 50.38257
27.89098 50.39055
27.89054 50.39055
27.89054 50.39011
27.89009 50.39011
27.89009 50.38967
27.89054 50.38967
27.89054 50.38878
27.89098 50.38878
27.89098 50.38834
27.89142 50.38834
27.89142 50.38789
27.89187 50.38789
27.89187 50.38701
27.89319 50.38701
27.89319 50.38745
27.89452 50.38745
27.89452 50.38834
27.89497 50.38834
27.89497 50.38878
27.89541 50.38878
27.89541 50.38967
27.89585 50.38967
27.89585 50.39011
27.89541 50.39011
27.89541 50.39055
27.89408 50.39055
27.89408 50.39011
27.89364 50.39011
27.89364 50.38922
27.89231 50.38922
27.89231 50.38967
27.89142 50.38967
27.89142 50.39011
27.89098 50.39011
27.89098 50.39055
27.89098 50.39055
27.89319 50.37992
27.89319 50.37947
27.89408 50.37947
27.89408 50.38080
27.89452 50.38080
27.89452 50.38125
27.89497 50.38125
27.89497 50.38213
27.89452 50.38213
27.89452 50.38257
27.89364 50.38257
27.89364 50.38169
27.89275 50.38169
27.89275 50.38213
27.89187 50.38213
27.89187 50.38125
27.89231 50.38125
27.89231 50.38036
27.89275 50.38036
27.89275 50.37992
27.89319 50.37992
27.89319 50.37992
27.89674 50.38125
27.89718 50.38125
27.89718 50.38213
27.89630 50.38213
27.89630 50.38169
27.89585 50.38169
27.89585 50.38080
27.89674 50.38080
27.89674 50.38125
27.89674 50.38125
27.91136 50.38302
27.91048 50.38302
27.91048 50.38346
27.91004 50.38346
27.91004 50.38302
27.90915 50.38302
27.90915 50.38435
27.90649 50.38435
27.90649 50.38479
27.90605 50.38479
27.90605 50.38523
27.90560 50.38523
27.90560 50.38568
27.90516 50.38568
27.90516 50.38612
27.90560 50.38612
27.90560 50.38745
27.90516 50.38745
27.90516 50.38701
27.90427 50.38701
27.90427 50.38745
27.90339 50.38745
27.90339 50.38701
27.90294 50.38701
27.90294 50.38656
27.89984 50.38656
27.89984 50.38701
27.89940 50.38701
27.89940 50.38745
27.89896 50.38745
27.89896 50.38789
27.89807 50.38789
27.89807 50.38568
27.89851 50.38568
27.89851 50.38479
27.89896 50.38479
27.89896 50.38523
27.90117 50.38523
27.90117 50.38568
27.90206 50.38568
27.90206 50.38479
27.90250 50.38479
27.90250 50.38435
27.90339 50.38435
27.90339 50.38390
27.90472 50.38390
27.90472 50.38346
27.90693 50.38346
27.90693 50.38302
27.90738 50.38302
27.90738 50.38213
27.90782 50.38213
27.90782 50.38169
27.90826 50.38169
27.90826 50.38125
27.91004 50.38125
27.91004 50.38169
27.91048 50.38169
27.91048 50.38125
27.91092 50.38125
27.91092 50.38169
27.91136 50.38169
27.91136 50.38080
27.91225 50.38080
27.91225 50.38036
27.91358 50.38036
27.91358 50.37992
27.91447 50.37992
27.91447 50.37947
27.91491 50.37947
27.91491 50.37992
27.91535 50.37992
27.91535 50.37947
27.91580 50.37947
27.91580 50.37903
27.91624 50.37903
27.91624 50.37859
27.91668 50.37859
27.91668 50.37903
27.91757 50.37903
27.91757 50.37947
27.91713 50.37947
27.91713 50.37992
27.91668 50.37992
27.91668 50.38036
27.91624 50.38036
27.91624 50.38080
27.91580 50.38080
27.91580 50.38125
27.91491 50.38125
27.91491 50.38169
27.91447 50.38169
27.91447 50.38213
27.91402 50.38213
27.91402 50.38257
27.91136 50.38257
27.91136 50.38302
27.91136 50.38302
