oil_name;oil_location;oil_density;oil_api;oil_temp;oil_visc;oil_res_dens;oil_res_perc;oil_vap_press
Gorm;Denmark (North Sea);0.856;33.90;38.00;00005.40;0.911;54.58;0.373
Gulf Alberta L & M;Alberta Canada;0.849;35.10;38.00;00004.86;0.906;52.55;0.364
Gulf of Suez blend;Egypt;0.868;31.50;20.00;00024.00;0.911;64.31;0.352
Gulf of Suez mix;Egypt;0.866;31.90;38.00;00008.70;0.915;58.91;0.572
Gulfaks;Norway (North Sea);0.884;28.60;38.00;00010.00;1.004;65.35;0.327
Halibut;Austria;0.814;42.30;38.00;00001.50;0.887;39.40;0.446
Handil;Indonesia;0.872;30.80;38.00;00005.90;0.908;70.06;0.346
Hassi Messaoud;Algeria;0.803;44.70;38.00;00000.98;0.923;37.85;0.717
Helder-A;Holland;0.927;21.10;50.00;00157.00;0.961;71.90;0.075
Helm-A;Holland;0.947;17.90;50.00;00335.00;0.982;71.00;0.069
Hoorn-A;Holland;0.901;25.60;50.00;00040.07;0.944;64.00;0.083
Hout;Neutral zone;0.848;35.30;38.00;00006.00;0.968;53.91;0.407
Hout;Divided zone;0.861;32.80;27.00;00009.90;0.902;65.67;0.317
Hunt;Libya;0.837;37.60;38.00;00009.00;0.882;62.35;0.405
Hutton;U.K.;0.873;30.50;38.00;00010.90;0.919;61.54;0.343
Illinois (Louden);USA;0.840;37.00;38.00;00005.50;0.894;55.03;0.620
Interprovincial;Canada;0.843;36.40;38.00;00004.80;0.898;53.97;0.394
Iranian heavy;Iran;0.871;31.00;38.00;00009.40;0.946;59.16;0.455
Iranian light;Iran;0.856;33.80;20.00;00010.60;0.930;57.03;0.448
Isthmus;Mexico;1.076;00.00;20.00;9999;1.061;68.65;0.386
Jatibarang;Indonesia;0.882;28.90;50.00;00128.00;1.002;64.84;0.329
Katina;Greece;0.995;10.70;38.00;00500.00;1.007;90.00;0.171
Kerindangan;Indonesia;0.924;21.60;38.00;00021.90;1.044;77.31;0.079
Khafji;Divided zone;0.884;28.50;27.00;00021.30;0.958;65.28;0.523
Khafji;Neutral zone;0.896;26.40;38.00;00018.00;0.508;68.54;0.307
Khursaniyah;Saudi Arabia;0.870;31.00;38.00;00009.20;0.914;63.35;0.347
Kingfish;Australia;0.797;46.00;38.00;00001.50;0.868;40.46;0.478
Kirkuk;Iraq;0.845;35.90;38.00;00004.60;0.897;57.03;0.390
Kirkuk blend;Iraq;0.849;35.10;10.00;00012.80;0.897;60.27;0.383
Klamono;Indonesia;0.942;18.70;50.00;00034.70;1.062;82.26;0.240
Kole;Cameroon;0.869;31.40;38.00;00007.50;0.913;62.96;0.351
Kole marine blend;Cameroon;0.850;34.90;10.00;00011.00;0.935;47.22;0.431
Kuparuk;Alaska;0.916;23.00;15.00;00080.00;0.948;73.06;0.177
Kuwait;Kuwait;0.870;31.20;38.00;00010.00;0.945;61.35;0.372
Kuwait Export;Kuwait;0.869;31.40;38.00;00009.80;0.913;63.28;0.461
La Rosa medium;Venezuela;0.902;25.30;50.00;00024.00;0.932;74.63;0.272
Labuan light;Malaysia;0.845;36.00;38.00;00022.00;0.965;52.71;0.391
Lagomedio;Venezuela;0.868;31.50;38.00;00009.20;0.921;55.62;0.361
Lagunillas heavy;South America;0.948;17.80;38.00;00222.00;0.968;83.24;0.233
Leduc Woodbend;Canada;0.827;39.70;38.00;00004.00;0.893;44.65;0.423
Leona;Venezuela;0.909;24.10;50.00;00066.00;0.947;68.43;0.374
Lirik;Indonesia;0.847;35.60;50.00;00012.00;0.871;79.79;0.387
Lloyd minister;Alberta Canada;0.930;20.70;38.00;00101.00;0.966;69.78;0.303
Loreto;Peru;0.855;34.00;27.00;00008.40;0.904;59.04;0.374
Los Angeles Basin;USA;0.924;21.70;38.00;00037.00;0.957;72.67;0.266
LOT 17;South America;0.775;54.00;38.00;00005.10;0.829;54.97;0.548
Louisiana Delta;USA;0.873;30.60;38.00;00008.20;0.914;66.22;0.344
Lucina Marine;Gabon;0.827;39.50;20.00;00016.00;0.881;55.40;0.436
Magnus;UK (North Sea);1.076;00.00;00.00;07486.00;1.061;49.57;0.078
Mandji;Gabon;0.873;30.50;10.00;00044.00;0.918;62.22;0.261
Manifa (offshore);Saudi Arabia;0.880;29.00;38.00;00013.00;0.922;65.29;0.330
Marine Belayim;Egypt;0.873;30.60;38.00;00014.00;0.907;71.60;0.344
Maureen;UK (North Sea);1.076;00.00;00.00;07486.00;1.061;59.64;0.078
Maya;Mexico;0.922;22.00;20.00;00222.00;0.956;71.91;0.320
Melahin;Indonesia;0.906;24.70;38.00;00005.70;1.026;72.01;0.055
Merey;Venezuela;0.950;17.40;38.00;00261.00;0.966;86.28;0.229
Mesa;South America;0.876;30.00;38.00;00008.80;0.926;58.10;0.339
Minas (Sumatra light);Indonesia;0.849;35.20;50.00;00011.40;0.886;69.48;0.384
Mixed spray berry;USA;0.833;38.30;20.00;00008.20;0.896;47.78;0.455
Monegas-Morichal;South America;0.985;12.20;50.00;00651.73;0.995;91.52;0.184
Montrose;UK (North Sea);0.822;40.70;40.00;00003.17;0.886;47.05;0.432
Moonie;Australia;0.804;44.50;38.00;00002.50;0.875;41.02;0.465
Mubarek;Sharjah UAE;0.834;37.00;38.00;00003.20;0.884;58.18;0.331
Mubarras;Abu Dhabi;0.823;38.10;50.00;00004.70;0.943;49.13;0.409
Murban;Abu Dhabi;0.835;40.50;40.00;00002.70;0.895;49.72;0.238
Murchison;UK & Norway (North Sea);0.851;38.00;38.00;00003.60;0.908;52.25;0.612
Nigerian (Gulf);Nigeria;0.849;34.70;38.00;00003.80;0.908;50.65;0.380
Ninian;UK (North Sea);0.840;35.10;38.00;00006.90;0.903;58.10;0.372
Ninian blend;UK (North Sea);0.847;35.60;38.00;00005.60;0.887;66.98;0.387
North Dakota (average);USA;0.817;41.80;27.00;00003.00;0.887;41.27;0.441
North Dakota (northern);USA;0.833;38.40;38.00;00003.00;0.898;45.88;0.412
North Rumaila;Iraq;0.853;34.30;20.00;00010.60;0.906;55.91;0.376
North Slope;USA;0.894;26.80;38.00;00016.00;0.933;67.41;0.200
Northeast Texas;USA;0.890;27.00;38.00;00027.00;0.928;68.60;0.313
Oficina;South America;0.843;36.30;38.00;00004.10;0.903;49.72;0.394
Ohanet;Algeria;0.809;43.30;38.00;00003.80;0.873;46.97;0.454
Oklahoma average;USA;0.826;39.90;20.00;00005.70;0.891;45.97;0.421
